Fecha,Ubicacion,Local,Resultado,Visitante,year
4 de abril,Quito,Aucas,2:1,Flamengo,2023
4 de abril,Concepción,Ñublense,0:2,Racing Club,2023
19 de abril,Río de Janeiro,Flamengo,2:0,Ñublense,2023
20 de abril,Avellaneda,Racing Club,3:2,Aucas,2023
2 de mayo,Concepción,Ñublense,2:1,Aucas,2023
4 de mayo,Avellaneda,Racing Club,1:1,Flamengo,2023
23 de mayo,Quito,Aucas,1:2,Racing Club,2023
24 de mayo,Concepción,Ñublense,1:1,Flamengo,2023
7 de junio,Quito,Aucas,0:0,Ñublense,2023
8 de junio,Río de Janeiro,Flamengo,2:1,Racing Club,2023
28 de junio,Avellaneda,Racing Club,4:0,Ñublense,2023
28 de junio,Río de Janeiro,Flamengo,4:0,Aucas,2023
4 de abril,Medellín,Independiente Medellín,1:1,Internacional,2023
4 de abril,Caracas,Metropolitanos,1:2,Nacional,2023
18 de abril,Porto Alegre,Internacional,1:0,Metropolitanos,2023
19 de abril,Montevideo,Nacional,2:1,Independiente Medellín,2023
3 de mayo,Porto Alegre,Internacional,2:2,Nacional,2023
3 de mayo,Medellín,Independiente Medellín,4:2,Metropolitanos,2023
23 de mayo,Medellín,Independiente Medellín,2:1,Nacional,2023
25 de mayo,Caracas,Metropolitanos,1:2,Internacional,2023
7 de junio,Montevideo,Nacional,1:1,Internacional,2023
8 de junio,Caracas,Metropolitanos,0:1,Independiente Medellín,2023
28 de junio,Montevideo,Nacional,1:0,Metropolitanos,2023
28 de junio,Porto Alegre,Internacional,3:1,Independiente Medellín,2023
5 de abril,Asunción,Cerro Porteño,2:1,Barcelona,2023
5 de abril,La Paz,Bolívar,3:1,Palmeiras,2023
19 de abril,Guayaquil,Barcelona,2:1,Bolívar,2023
20 de abril,São Paulo,Palmeiras,2:1,Cerro Porteño,2023
3 de mayo,Asunción,Cerro Porteño,0:4,Bolívar,2023
3 de mayo,Guayaquil,Barcelona,0:2,Palmeiras,2023
23 de mayo,La Paz,Bolívar,1:0,Barcelona,2023
25 de mayo,Asunción,Cerro Porteño,0:3,Palmeiras,2023
6 de junio,La Paz,Bolívar,2:0,Cerro Porteño,2023
7 de junio,São Paulo,Palmeiras,4:2,Barcelona,2023
29 de junio,São Paulo,Palmeiras,4:0,Bolívar,2023
29 de junio,Guayaquil,Barcelona,2:2,Cerro Porteño,2023
4 de abril,La Paz,The Strongest,3:1,River Plate,2023
5 de abril,Lima,Sporting Cristal,1:3,Fluminense,2023
18 de abril,Río de Janeiro,Fluminense,1:0,The Strongest,2023
19 de abril,Buenos Aires,River Plate,4:2,Sporting Cristal,2023
2 de mayo,Río de Janeiro,Fluminense,5:1,River Plate,2023
2 de mayo,Lima,Sporting Cristal,1:0,The Strongest,2023
25 de mayo,La Paz,The Strongest,1:0,Fluminense,2023
25 de mayo,Lima,Sporting Cristal,1:1,River Plate,2023
7 de junio,Buenos Aires,River Plate,2:0,Fluminense,2023
7 de junio,La Paz,The Strongest,1:2,Sporting Cristal,2023
27 de junio,Río de Janeiro,Fluminense,1:1,Sporting Cristal,2023
