Fecha,Ubicacion,Local,Resultado,Visitante,year
16 de febrero,Lima,Sporting Cristal,0:0,Atlético Chalaco,1980
27 de febrero,Buenos Aires,River Plate,0:0,Vélez Sarsfield,1980
1 de marzo,Lima,Atlético Chalaco,0:2,Vélez Sarsfield,1980
11 de marzo,Buenos Aires,River Plate,3:2,Sporting Cristal,1980
14 de marzo,Buenos Aires,Vélez Sarsfield,2:0,Sporting Cristal,1980
25 de marzo,Buenos Aires,River Plate,3:0,Atlético Chalaco,1980
27 de marzo,Buenos Aires,Vélez Sarsfield,5:2,Atlético Chalaco,1980
9 de abril,Lima,Sporting Cristal,0:1,Vélez Sarsfield,1980
15 de abril,Lima,Sporting Cristal,1:2,River Plate,1980
18 de abril,Lima,Atlético Chalaco,0:2,River Plate,1980
25 de abril,Buenos Aires,Vélez Sarsfield,0:0,River Plate,1980
25 de abril,Lima,Atlético Chalaco,1:2,Sporting Cristal,1980
9 de abril,Montevideo,Nacional,1:0,Defensor Sporting,1980
9 de abril,Santa Cruz,Oriente Petrolero,1:0,The Strongest,1980
13 de abril,Santa Cruz,Oriente Petrolero,1:3,Nacional,1980
13 de abril,La Paz,The Strongest,2:0,Defensor Sporting,1980
16 de abril,Santa Cruz,Oriente Petrolero,0:1,Defensor Sporting,1980
17 de abril,La Paz,The Strongest,3:0,Nacional,1980
23 de abril,Montevideo,Defensor Sporting,0:3,Nacional,1980
23 de abril,La Paz,The Strongest,3:2,Oriente Petrolero,1980
27 de abril,Montevideo,Nacional,5:0,Oriente Petrolero,1980
27 de abril,Montevideo,Defensor Sporting,1:1,The Strongest,1980
30 de abril,Montevideo,Nacional,2:0,The Strongest,1980
30 de abril,Montevideo,Defensor Sporting,1:1,Oriente Petrolero,1980
23 de marzo,Caracas,Deportivo Galicia,1:0,Deportivo Táchira,1980
23 de marzo,Río de Janeiro,Vasco da Gama,0:0,Internacional,1980
13 de abril,Caracas,Deportivo Galicia,0:0,Vasco da Gama,1980
13 de abril,San Cristóbal,Deportivo Táchira,0:1,Internacional,1980
17 de abril,San Cristóbal,Deportivo Táchira,0:1,Vasco da Gama,1980
17 de abril,Caracas,Deportivo Galicia,2:1,Internacional,1980
20 de abril,Porto Alegre,Internacional,2:1,Vasco da Gama,1980
20 de abril,San Cristóbal,Deportivo Táchira,0:1,Deportivo Galicia,1980
27 de abril,Río de Janeiro,Vasco da Gama,4:0,Deportivo Galicia,1980
27 de abril,Porto Alegre,Internacional,4:0,Deportivo Táchira,1980
30 de abril,Río de Janeiro,Vasco da Gama,1:0,Deportivo Táchira,1980
30 de abril,Porto Alegre,Internacional,2:0,Deportivo Galicia,1980
9 de marzo,Guayaquil,Emelec,1:0,Universidad Católica,1980
