Fecha,Ubicacion,Local,Visitante,year,HomeGoals,AwayGoals
16 de febrero,Lima,Sporting Cristal,Atlético Chalaco,1980,0,0
27 de febrero,Buenos Aires,River Plate,Vélez Sarsfield,1980,0,0
1 de marzo,Lima,Atlético Chalaco,Vélez Sarsfield,1980,0,2
11 de marzo,Buenos Aires,River Plate,Sporting Cristal,1980,3,2
14 de marzo,Buenos Aires,Vélez Sarsfield,Sporting Cristal,1980,2,0
25 de marzo,Buenos Aires,River Plate,Atlético Chalaco,1980,3,0
27 de marzo,Buenos Aires,Vélez Sarsfield,Atlético Chalaco,1980,5,2
9 de abril,Lima,Sporting Cristal,Vélez Sarsfield,1980,0,1
15 de abril,Lima,Sporting Cristal,River Plate,1980,1,2
18 de abril,Lima,Atlético Chalaco,River Plate,1980,0,2
25 de abril,Buenos Aires,Vélez Sarsfield,River Plate,1980,0,0
25 de abril,Lima,Atlético Chalaco,Sporting Cristal,1980,1,2
9 de abril,Montevideo,Nacional,Defensor Sporting,1980,1,0
9 de abril,Santa Cruz,Oriente Petrolero,The Strongest,1980,1,0
13 de abril,Santa Cruz,Oriente Petrolero,Nacional,1980,1,3
13 de abril,La Paz,The Strongest,Defensor Sporting,1980,2,0
16 de abril,Santa Cruz,Oriente Petrolero,Defensor Sporting,1980,0,1
17 de abril,La Paz,The Strongest,Nacional,1980,3,0
23 de abril,Montevideo,Defensor Sporting,Nacional,1980,0,3
23 de abril,La Paz,The Strongest,Oriente Petrolero,1980,3,2
27 de abril,Montevideo,Nacional,Oriente Petrolero,1980,5,0
27 de abril,Montevideo,Defensor Sporting,The Strongest,1980,1,1
30 de abril,Montevideo,Nacional,The Strongest,1980,2,0
30 de abril,Montevideo,Defensor Sporting,Oriente Petrolero,1980,1,1
23 de marzo,Caracas,Deportivo Galicia,Deportivo Táchira,1980,1,0
23 de marzo,Río de Janeiro,Vasco da Gama,Internacional,1980,0,0
13 de abril,Caracas,Deportivo Galicia,Vasco da Gama,1980,0,0
13 de abril,San Cristóbal,Deportivo Táchira,Internacional,1980,0,1
17 de abril,San Cristóbal,Deportivo Táchira,Vasco da Gama,1980,0,1
17 de abril,Caracas,Deportivo Galicia,Internacional,1980,2,1
20 de abril,Porto Alegre,Internacional,Vasco da Gama,1980,2,1
20 de abril,San Cristóbal,Deportivo Táchira,Deportivo Galicia,1980,0,1
27 de abril,Río de Janeiro,Vasco da Gama,Deportivo Galicia,1980,4,0
27 de abril,Porto Alegre,Internacional,Deportivo Táchira,1980,4,0
30 de abril,Río de Janeiro,Vasco da Gama,Deportivo Táchira,1980,1,0
30 de abril,Porto Alegre,Internacional,Deportivo Galicia,1980,2,0
9 de marzo,Guayaquil,Emelec,Universidad Católica,1980,1,0
12 de marzo,Cali,América de Cali,Santa Fe,1980,1,0
16 de marzo,Quito,Universidad Católica,América de Cali,1980,4,2
